theta,empirical_real,empirical_imag,se_real,se_imag,theoretical_real,theoretical_imag
2.749999999999999667e-02,6.284240767567669111e-03,-2.155971424876215823e-03,5.151848547333640754e-03,4.862843034382126860e-03,-1.867041573842459501e-03,3.177182041840448390e-03
2.999999999999999889e-02,6.120175787849601798e-03,-1.892039016400976804e-03,5.151230982299165317e-03,4.864300366875570075e-03,-2.037812491175974849e-03,3.421089053167902794e-03
3.250000000000000111e-02,5.955794512642407189e-03,-1.635281429733002802e-03,5.150657689167071826e-03,4.865786316148156682e-03,-2.208540064779038192e-03,3.657569089210527258e-03
3.500000000000000333e-02,5.791143401066656780e-03,-1.385678792894655311e-03,5.150129338454303464e-03,4.867300272528660848e-03,-2.379175679467201987e-03,3.886639790660534333e-03
3.750000000000000555e-02,5.626268376172013919e-03,-1.143210333460157897e-03,5.149646566913679106e-03,4.868841645724509941e-03,-2.549671156129904026e-03,4.108319778872021599e-03
3.999999999999998002e-02,5.461214812515783647e-03,-9.078543965275884730e-04,5.149209977670288554e-03,4.870409864661091014e-03,-2.719978764792546633e-03,4.322628642140058375e-03
4.249999999999998224e-02,5.296027524177990102e-03,-6.795884628862943573e-04,5.148820140393980428e-03,4.872004377288845223e-03,-2.890051237407514906e-03,4.529586921722256188e-03
4.499999999999998446e-02,5.130750753218315738e-03,-4.583891673661071573e-04,5.148477591505049196e-03,4.873624650361338580e-03,-3.059841780372787867e-03,4.729216097615368541e-03
4.749999999999998668e-02,4.965428158579395304e-03,-2.442323173547052205e-04,5.148182834410237364e-03,4.875270169187527827e-03,-3.229304086766360271e-03,4.921538574088557549e-03
4.999999999999998890e-02,4.800102805440975735e-03,-3.709291146935740407e-05,5.147936339766187065e-03,4.876940437361373427e-03,-3.398392348296752630e-03,5.106577664983791287e-03
5.249999999999999112e-02,4.634817155028508537e-03,1.630548416308503406e-04,5.147738545767492624e-03,4.878634976471870992e-03,-3.567061266958312937e-03,5.284357578789367071e-03
5.499999999999999334e-02,4.469613054879860957e-03,3.562375043061401128e-04,5.147589858456598499e-03,4.880353325796512633e-03,-3.735266066390005579e-03,5.454903403494165692e-03
5.749999999999999556e-02,4.304531729572836501e-03,5.424823908844373949e-04,5.147490652052809541e-03,4.882095041981073490e-03,-3.902962502931206501e-03,5.618241091231379603e-03
5.999999999999999778e-02,4.139613771916231776e-03,7.218175485110577862e-04,5.147441269297820150e-03,4.883859698708528478e-03,-4.070106876367468596e-03,5.774397442717571494e-03
6.250000000000000000e-02,3.974899134606375145e-03,8.942717379135193276e-04,5.147442021815195820e-03,4.885646886359742112e-03,-4.236656040365660569e-03,5.923400091497804665e-03
6.500000000000000222e-02,3.810427122350893217e-03,1.059874414095505644e-03,5.147493190481434826e-03,4.887456211668490119e-03,-4.402567412590291385e-03,6.065277488003673056e-03
6.750000000000000444e-02,3.646236384460738167e-03,1.218655706973728386e-03,5.147595025806275988e-03,4.889287297373164261e-03,-4.567798984498078196e-03,6.200058883431586176e-03
7.000000000000000666e-02,3.482364907911509374e-03,1.370646401971716000e-03,5.147747748320124876e-03,4.891139781867406833e-03,-4.732309330807149550e-03,6.327774313452966259e-03
7.250000000000000888e-02,3.318850010874069365e-03,1.515877920584083683e-03,5.147951548966561014e-03,4.893013318851709668e-03,-4.896057618636581732e-03,6.448454581761881022e-03
7.500000000000001110e-02,3.155728336714657464e-03,1.654382300925125344e-03,5.148206589498053459e-03,4.894907576987886713e-03,-5.059003616313353935e-03,6.562131243471241993e-03
7.750000000000001332e-02,2.993035848463692760e-03,1.786192178275223391e-03,5.148513002873190796e-03,4.896822239558093308e-03,-5.221107701841282145e-03,6.668836588365423257e-03
8.000000000000001554e-02,2.830807823752559942e-03,1.911340765638578666e-03,5.148870893653860817e-03,4.898757004129947364e-03,-5.382330871033097486e-03,6.768603624018182385e-03
8.250000000000001776e-02,2.669078850216801552e-03,2.029861834325526627e-03,5.149280338400994729e-03,4.900711582229069080e-03,-5.542634745298341548e-03,6.861466058786541700e-03
8.500000000000001998e-02,2.507882821364007531e-03,2.141789694572743784e-03,5.149741386067678908e-03,4.902685699020185861e-03,-5.701981579088494234e-03,6.947458284688373675e-03
8.750000000000002220e-02,2.347252932904208937e-03,2.247159176214181577e-03,5.150254058388569964e-03,4.904679092997781681e-03,-5.860334266993824648e-03,7.026615360173515956e-03
8.999999999999996891e-02,2.187221679540148588e-03,2.346005609415783427e-03,5.150818350264765692e-03,4.906691515687040296e-03,-6.017656350494240969e-03,7.098972992798713300e-03
9.249999999999997113e-02,2.027820852214378983e-03,2.438364805486424244e-03,5.151434230143407678e-03,4.908722731355692065e-03,-6.173912024356784101e-03,7.164567521813991480e-03
9.499999999999997335e-02,1.869081535809910630e-03,2.524273037777671671e-03,5.152101640391524608e-03,4.910772516737149478e-03,-6.329066142684802720e-03,7.223435900672425802e-03
9.749999999999997558e-02,1.711034107300507404e-03,2.603767022684501300e-03,5.152820497663706915e-03,4.912840660765177732e-03,-6.483084224612953306e-03,7.275615679470659458e-03
9.999999999999997780e-02,1.553708234346537834e-03,2.676883900759022619e-03,5.153590693263460087e-03,4.914926964320135046e-03,-6.635932459650648041e-03,7.321144987331523746e-03
1.024999999999999800e-01,1.397132874331901082e-03,2.743661217948882135e-03,5.154412093498162914e-03,4.917031239986684697e-03,-6.787577712669870533e-03,7.360062514736392947e-03
1.049999999999999822e-01,1.241336273837101217e-03,2.804136906971919484e-03,5.155284540027767724e-03,4.919153311822695163e-03,-6.937987528541772475e-03,7.392407495820152441e-03
